Experiment,Accuracy,Precision,Recall,F1_Score,Mean_Parasitemia_Error,Avg_Time_Per_Image_ms,Scenario,Model_File
LogReg_Train_GT_Black_to_Test_Point_Watershed,0.9685028357238263,0.6973629995879687,0.5272585669781932,0.6004967181124712,0.02970996921185409,1787.5769436001779,LogReg (Train: GT_Black) -> Test: Point_Watershed,LogisticRegression_trained_on_GT_Black.pkl
LogReg_Train_Seg_Water_to_Test_Point_Watershed,0.9638453953579446,0.6368812965396409,0.45295950155763237,0.5294010558893136,0.03527344504721242,1787.56374117136,LogReg (Train: Seg_Water) -> Test: Point_Watershed,LogisticRegression_trained_on_Seg_Watershed.pkl
RF_Train_GT_Black_to_Test_Point_Watershed,0.9703560214549956,0.9202312138728324,0.3719626168224299,0.529783693843594,0.03379848020528076,1788.5537749171258,RF (Train: GT_Black) -> Test: Point_Watershed,RandomForest_trained_on_GT_Black.pkl
RF_Train_Seg_Water_to_Test_Point_Watershed,0.9694469114736672,0.9218428630193336,0.3490654205607477,0.5063834594961021,0.03509092788755274,1788.6352339029308,RF (Train: Seg_Water) -> Test: Point_Watershed,RandomForest_trained_on_Seg_Watershed.pkl
SVM_Train_GT_Black_to_Test_Point_Watershed,0.9698525143884137,0.9348453608247422,0.35311526479750777,0.5126059920859243,0.03520884677735078,1805.352456533909,SVM (Train: GT_Black) -> Test: Point_Watershed,SVM_trained_on_GT_Black.pkl
SVM_Train_Seg_Water_to_Test_Point_Watershed,0.9677755477387637,0.9351585014409222,0.30327102803738315,0.4580098800282287,0.037566878880312016,1810.7125693202015,SVM (Train: Seg_Water) -> Test: Point_Watershed,SVM_trained_on_Seg_Watershed.pkl
LogReg_Train_GT_Orig_to_Test_Point_Hough,0.9436237458777982,0.2878765613519471,0.23285391655770832,0.2574582730976475,0.04946005316485259,2505.6607867956163,LogReg (Train: GT_Orig) -> Test: Point_Hough,LogisticRegression_trained_on_GT_Original.pkl
LogReg_Train_Seg_Hough_to_Test_Point_Hough,0.9446963914208313,0.27177997950119576,0.18911208843456556,0.22303217214551063,0.052444891309668604,2505.635688769817,LogReg (Train: Seg_Hough) -> Test: Point_Hough,LogisticRegression_trained_on_Seg_Hough.pkl
RF_Train_GT_Orig_to_Test_Point_Hough,0.966079455594969,0.7310996563573883,0.30345893260430284,0.4288954220915582,0.03213626103426336,2506.936067211628,RF (Train: GT_Orig) -> Test: Point_Hough,RandomForest_trained_on_GT_Original.pkl
RF_Train_Seg_Hough_to_Test_Point_Hough,0.9650217771990481,0.7543541364296081,0.24711755616308095,0.3722804190169218,0.03530699250701437,2506.9663028597834,RF (Train: Seg_Hough) -> Test: Point_Hough,RandomForest_trained_on_Seg_Hough.pkl
SVM_Train_GT_Orig_to_Test_Point_Hough,0.9642035731569205,0.688949938949939,0.2682752882443837,0.38617503635897,0.03383232910720916,2529.9840353608133,SVM (Train: GT_Orig) -> Test: Point_Hough,SVM_trained_on_GT_Original.pkl
SVM_Train_Seg_Hough_to_Test_Point_Hough,0.9649269852673382,0.7644359464627151,0.2376084630928325,0.36253173739572,0.035069463292514154,2545.075642335415,SVM (Train: Seg_Hough) -> Test: Point_Hough,SVM_trained_on_Seg_Hough.pkl
